2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODUCT (length:22) was greater than 18 characters in length for relation Product of entity ProductProductOffer.
2015-07-17 01:42:27,668 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localpostolap" for entity group "org.ofbiz.olap".
2015-07-17 01:42:27,673 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-17 01:42:27,680 |OFBiz-config-1       |GenericDelegator              |I| Delegator "default" initializing helper "localposttenant" for entity group "org.ofbiz.tenant".
2015-07-17 01:42:27,680 |OFBiz-config-1       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-17 01:42:27,681 |OFBiz-config-2       |GenericDelegator              |I| Delegator "default" initializing helper "localpostnew" for entity group "org.ofbiz".
2015-07-17 01:42:27,681 |OFBiz-config-2       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-17 01:42:27,882 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-17 01:42:27,882 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-17 01:42:27,882 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-17 01:42:27,882 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-17 01:42:27,882 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-17 01:42:27,882 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-17 01:42:27,882 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-17 01:42:27,882 |OFBiz-config-2       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-17 01:42:27,882 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-17 01:42:27,882 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-17 01:42:27,882 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-17 01:42:27,882 |OFBiz-config-0       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-17 01:42:27,882 |OFBiz-config-2       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-17 01:42:27,883 |OFBiz-config-0       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-17 01:42:27,883 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-17 01:42:27,883 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-17 01:42:27,883 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-17 01:42:27,883 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-17 01:42:27,883 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-17 01:42:27,883 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-17 01:42:27,883 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-17 01:42:27,883 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-17 01:42:27,883 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-17 01:42:27,884 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-17 01:42:27,884 |OFBiz-config-2       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-17 01:42:27,884 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-17 01:42:27,884 |OFBiz-config-0       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-17 01:42:27,884 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-17 01:42:27,884 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-17 01:42:27,884 |OFBiz-config-2       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-17 01:42:27,884 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-17 01:42:27,884 |OFBiz-config-2       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-17 01:42:27,885 |OFBiz-config-0       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-17 01:42:27,885 |OFBiz-config-2       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-17 01:42:27,885 |OFBiz-config-0       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-17 01:42:27,885 |OFBiz-config-2       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-17 01:42:27,885 |OFBiz-config-0       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-17 01:42:27,885 |OFBiz-config-0       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-17 01:42:27,885 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-17 01:42:27,885 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-17 01:42:27,886 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-17 01:42:27,886 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-17 01:42:27,886 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-17 01:42:27,886 |OFBiz-config-1       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-17 01:42:27,886 |OFBiz-config-1       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-17 01:42:27,887 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-17 01:42:27,887 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-17 01:42:27,887 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-17 01:42:27,887 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-17 01:42:27,887 |OFBiz-config-0       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-17 01:42:27,888 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-17 01:42:27,888 |OFBiz-config-0       |DatabaseUtil                  |I| - max column name length    [63]
2015-07-17 01:42:27,888 |OFBiz-config-1       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-17 01:42:27,888 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-07-17 01:42:27,888 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-17 01:42:27,888 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-07-17 01:42:27,888 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-17 01:42:27,888 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-07-17 01:42:27,888 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
