2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(settings)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(database)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(library)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(activity)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(elpi)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(easyofbiz)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(websiteapp)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(membres)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(ecomclone)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(ecommerce)
2015-07-17 16:23:48,369 |main                 |CatalinaContainer             |I| createContext(ordermgr-js)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(ofbizsetup)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(SalesForceAutomation)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(marketing)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(purchase-order)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(sale-order)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(order)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(humanres)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(ap)
2015-07-17 16:23:48,370 |main                 |CatalinaContainer             |I| createContext(ar)
