2015-07-17 01:08:24,687 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-17 01:08:24,687 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-17 01:08:24,687 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-17 01:08:24,687 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-17 01:08:24,687 |OFBiz-config-1       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-17 01:08:24,687 |OFBiz-config-0       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-17 01:08:24,688 |OFBiz-config-1       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-17 01:08:24,688 |OFBiz-config-0       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-17 01:08:24,688 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-17 01:08:24,688 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-17 01:08:24,688 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-17 01:08:24,688 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-17 01:08:24,688 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-17 01:08:24,688 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-17 01:08:24,688 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-17 01:08:24,689 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
